"AOU","alpha","common","group"
4960,"BROC","BRONZED COWBIRD","CardBlack.csv"
4961,"SHCO","SHINY COWBIRD","CardBlack.csv"
4970,"YHBL","YELLOW-HEADED BLACKBIRD","CardBlack.csv"
4980,"RWBL","RED-WINGED BLACKBIRD","CardBlack.csv"
5000,"TRBL","TRICOLORED BLACKBIRD","CardBlack.csv"
5010,"EAME","EASTERN MEADOWLARK","CardBlack.csv"
5011,"WEME","WESTERN MEADOWLARK","CardBlack.csv"
5030,"AUOR","AUDUBON'S ORIOLE","CardBlack.csv"
5031,"ALOR","ALTAMIRA ORIOLE","CardBlack.csv"
5032,"SPOO","SPOTTED-BREASTED ORIOLE","CardBlack.csv"
5040,"SCOR","SCOTT'S ORIOLE","CardBlack.csv"
5050,"HOOR","HOODED ORIOLE","CardBlack.csv"
5060,"OROR","ORCHARD ORIOLE","CardBlack.csv"
5070,"BAOR","BALTIMORE ORIOLE","CardBlack.csv"
5080,"BUOR","BULLOCK'S ORIOLE","CardBlack.csv"
5090,"RUBL","RUSTY BLACKBIRD","CardBlack.csv"
5100,"BRBL","BREWER'S BLACKBIRD","CardBlack.csv"
5110,"COGR","COMMON GRACKLE","CardBlack.csv"
5120,"GTGR","GREAT-TAILED GRACKLE","CardBlack.csv"
5130,"BTGR","BOAT-TAILED GRACKLE","CardBlack.csv"
5140,"EVGR","EVENING GROSBEAK","Finches.csv"
5150,"PIGR","PINE GROSBEAK","Finches.csv"
5170,"PUFI","PURPLE FINCH","Finches.csv"
5180,"CAFI","CASSIN'S FINCH","Finches.csv"
5190,"HOFI","HOUSE FINCH","Finches.csv"
5210,"RECR","RED CROSSBILL","Finches.csv"
5220,"WWCR","WHITE-WINGED CROSSBILL","Finches.csv"
5240,"GCRF","GRAY-CROWNED ROSY FINCH","Finches.csv"
5250,"BLRF","BLACK ROSY-FINCH","Finches.csv"
5260,"BCRF","BROWN-CAPPED ROSY FINCH","Finches.csv"
5270,"HORE","HOARY REDPOLL","Finches.csv"
5280,"CORE","COMMON REDPOLL","Finches.csv"
5290,"AMGO","AMERICAN GOLDFINCH","Finches.csv"
5300,"LEGO","LESSER GOLDFINCH","Finches.csv"
5310,"LAGO","LAWRENCE'S GOLDFINCH","Finches.csv"
5330,"PISI","PINE SISKIN","Finches.csv"
5340,"SNBU","SNOW BUNTING","GnatLongs.csv"
5360,"LALO","LAPLAND LONGSPUR","GnatLongs.csv"
5370,"SMLO","SMITH'S LONGSPUR","GnatLongs.csv"
5380,"CCLO","CHESTNUT-COLLARED LONGSPUR","GnatLongs.csv"
5390,"MCLO","MC COWN'S LONGSPUR","GnatLongs.csv"
5400,"VESP","VESPER SPARROW","NWSparrow.csv"
